НоменклатураКод;ЦенаРозн;ЦенаОпт;Свободно;Резерв;Климовск;КлимовскР;Краснодар;КраснодарР;Воронеж;ВоронежР;СанктПетербург;СанктПетербургР;Екатеринбург;ЕкатеринбургР;Ожидается;Дата;
00000010226;7500;7000;0;1;0;1;0;0;0;0;0;0;0;0;;;
00000010235;96690;89420;25;0;21;0;0;0;4;0;0;0;0;0;14;2022-02-23;
00000010236;3150;2650;43;0;43;0;0;0;0;0;0;0;0;0;;;
00000010243;8050;7300;74;0;74;0;0;0;0;0;0;0;0;0;;;
00000010244;8950;8150;72;1;72;1;0;0;0;0;0;0;0;0;;;
00000010264;26060;24660;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000010265;112660;106590;12;0;12;0;0;0;0;0;0;0;0;0;;;
00000010266;75340;71280;10;0;10;0;0;0;0;0;0;0;0;0;;;
00000010270;42330;39140;70;0;57;0;4;0;4;0;5;0;0;0;;;
00000010272;5500;5000;118;0;108;0;0;0;0;0;10;0;0;0;;;
00000010273;6350;5750;110;2;102;0;0;0;0;0;8;2;0;0;;;
00000010274;6350;5800;68;0;60;0;0;0;0;0;8;0;0;0;;;
00000010275;6800;6200;73;0;73;0;0;0;0;0;0;0;0;0;;;
00000010276;4300;3870;96;0;92;0;0;0;0;0;4;0;0;0;9;2022-03-10;
00000010277;4400;4010;96;2;92;2;0;0;0;0;4;0;0;0;;;
00000010278;3400;2770;134;0;134;0;0;0;0;0;0;0;0;0;1;2022-03-10;
00000010279;6550;5950;108;0;102;0;0;0;0;0;6;0;0;0;;;
00000010280;7450;6760;98;0;92;0;0;0;0;0;6;0;0;0;;;
00000010281;9000;8200;78;0;78;0;0;0;0;0;0;0;0;0;;;
00000010282;7850;7150;74;0;74;0;0;0;0;0;0;0;0;0;;;
00000010283;6950;6450;34;0;30;0;0;0;0;0;4;0;0;0;;;
00000010284;8250;7450;34;0;30;0;0;0;0;0;4;0;0;0;;;
00000010289;8450;7700;30;0;30;0;0;0;0;0;0;0;0;0;;;
00000010290;9100;8300;72;0;72;0;0;0;0;0;0;0;0;0;;;
