"ID (артикул)";"Номенклатура";"Наличие";"Цена"
"7077";"4.00-8 8PR TTF C601 HUITON Шина для вилочного погрузчика";"0";"3540"
"6889";"300-15 20PR TTF C601 HUITON Шина для вилочного погрузчика";"0";"17590"
"7080";"5.00-8 10PR TTF HUITON C601 Шина для вилочного погрузчика";"0";"3220"
"6865";"18х7-8 16PR TTF HUITON C601 Шина для вилочного погрузчика";"41";"6350"
"6980";"7.00-12 14PR TTF C601 HUITON Шина для вилочного погрузчика";"0";"7330"
"6960";"7.00-15 12PR TTF C601 HUITON Шина для вилочного погрузчика";"0";"8840"
"11493";"5.00-8 10PR 120A5 TTF C604 (HT606) HUITON Шина для вилочного погрузчика";"51";"4220"
"7199";"5.00-8 EU SOLID STAR Шина цельнолитая для вилочного погрузчика";"35";"12790"
"7203";"6.50-10 EU SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"19860"
"7278";"18х7-8 EU CLICK SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"14190"
"7207";"16х6-8 EU CLICK SOLID STAR EU CLICK Шина цельнолитая для вилочного погрузчика";"1";"10770"
"8178";"6.50-10 EU CLICK SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"21770"
"8195";"6.50-10 EU NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"1";"23150"
"8194";"16х6-8 EU NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"9110"
"8193";"18х7-8 EU NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"13200"
"8196";"21х8-9 EU NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"21100"
"8197";"23х9-10 EU NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"30360"
"8192";"5.00-8 EU NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"20";"11400"
"9473";"28х9-15 EU STANDART SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"35730"
"9472";"4.00-8 EU STANDART NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"8290"
"9474";"200/50-10 EU CLICK SOLID STAR Шина цельнолитая для вилочного погрузчика";"6";"17820"
"9481";"18х7-8 EU STANDART SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"13440"
"9477";"15х4 1/2-8 EU CLICK SOLID STAR Шина цельнолитая для вилочного погрузчика";"4";"6730"
"9476";"15х4 1/2-8 EU CLICK NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"1";"7860"
"9471";"8.25-15 EU CLICK SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"54000"
"9733";"7.00-12 EU SOLID STAR Шина цельнолитая для вилочного погрузчика";"1";"26270"
"10836";"250-15 EU CLICK SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"43010"
"10835";"140/55-9 EU Click SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"6520"
